Name,Brand,Price,Shipping_Cost,Location,Views,Link
New ListingSamsung Galaxy S22 Ultra - 512GB 5G Black Dual Sim- Unlocked UK Model Brand New,,$385.58,+$73.90 shipping estimate,from United Kingdom,,https://www.ebay.com/itm/256606123591?_nkw=mobile+phones&itmmeta=01J5FBSZJMGYWT21Y59DK2NTE7&hash=item3bbeeab647:g:UicAAOSwqp1mrni-&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmazFMmMIrtZ8dTtXUR5YYnOAllg1RtMwT69szoNLjGxmEzJSCpVlkWyW1CNM%2BjP3zaLJodJLwyT0vbD%2FoIycjnF2cmsZMz1a5QvB7VYJhszU9%2B0w7%2BhFeD4JKDdXlWT3q6OrN%2BHGqzl5ZOvbxMBSdb0G5t%2FoPjtoO35wCLcj1Jd3xScZbvetumwgHvYGzVZ0dto1vTh%2B7ONy9hHcOorCh2ZzJmeVWxiksI6kk%2B%2FeOuO%2BiBPsNn2tyDmaioNGccCh45bTiuO4XaEVyzXCyCyDXXa3FU50%2Bom1pxA7Tnxggpsg%3D%3D%7Ctkp%3ABk9SR7T55-urZA
Apple iPhone 15 - 128GB - Green (Unlocked),,$694.04,+$19.28 shipping,from United Kingdom,,https://www.ebay.com/itm/286011072481?_nkw=mobile+phones&epid=5062777521&itmmeta=01J5FBSZJMB97K3VTEHAFZG7BY&hash=item4297969fe1:g:Zn0AAOSw2VpmuKXH&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnlsRjkBBBo8anovuSsS%2F8Y3LjyHj4xIFqqQ9cMSDRibkHpoiV6kP28mjzB%2F8jrsrC5OFEJaaQNdDi3ugJL22fY1NGdpq9zqCa0NSfLX0NvSuzSrlhko9tSVJgmz3Efj3mTp2gjG76BiQ1%2BGFKrp3ybZbHN%2Bb7qpSUx%2BZHtS5AvOeJ0WzlH0i%2FYiVRjT5uCNgRQYvzGW%2FADzYBDVvTYwqc%2FBAWFk1NnbWKNcF40yQPZwPsP3gTd1DbUo8b6IppGWHI%3D%7Ctkp%3ABk9SR7T55-urZA
New ListingUnlocked Apple iPhone 256GB,,$0.73,+$141.46 shipping,from Canada,,https://www.ebay.com/itm/315672620270?_nkw=mobile+phones&itmmeta=01J5FBSZJM5M3KR5X6G6P7H1MQ&hash=item497f8decee:g:C~MAAOSwvdRmrdGD&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnuiSf6FOo0zrEvtFcVj6lZvBEdCShVXsgl8ZFn%2BoEHGX66D87CopueozNN4U%2BLbG4j6qevv95Yf02L0hWHTO3cvK%2FF7XAGXQtUrrtRnOkUq9n3Gy1DQddzNaJ78QHECHRikuCQKxswwycU8FlgfjuvkZiNiubT%2Bh12uh%2FNykIEdbODCeQ9XAJQCucrY5MMDKExge1L0XO4eAhKj2gdzH4AUh%2BRty6qBqfOObhacfjIceDXTrNsYZKXPh5FOCYXwPyhSPXGfD3IlM564mic4RiYHydGjZKV%2FKDjijFPfBJ6Vw%3D%3D%7Ctkp%3ABk9SR7T55-urZA
BRAND NEW SAMSUNG GALAXY FACTORY UNLOCKED NOTE 20 5G SM-N981U 128/256GB GSM+CDMA,,$242.25 to $270.75,+$10.00 shipping,from China,19+ watchers,https://www.ebay.com/itm/135161132466?_nkw=mobile+phones&epid=12040747040&itmmeta=01J5FBSZJM77MFJAFRMK8J4SCK&hash=item1f783b35b2:g:mVMAAOSwj61moSFe&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKkKX0rdIdBfWFW%2FJhLmwsIh2pnSKoI%2F1PAr8cfiVufJTZBfw416iYW1jAzHAKLvglvvqvI4o3LH6cOhv9ETII6DZuYSrWLyMl3oKdObq2cXbqg%2BR1efHg2brBRTiGduEo5Be9v4HeI%2Fz%2BwNJ1nhdJJQvbY4DcsfhWdH%2B2n4nc3cJHP3exsZYLu2G7i%2Bz7hAtZ0lQK0MXJq7bCy2ayWbbhO6gStuelfhRDcsi1xZ6LF%2FqmOvUSVNsP%2FpwnB%2FXhCdULCFZUIaVlHxU%2BUN6NKvLvcsvLAlqx3Q8Di4cHhC6koCNw%3D%3D%7Ctkp%3ABFBMtPnn66tk
"7.3"" Unlocked S24Ultra 5G Smartphone Android 22GB+2TB Dual SIM Mobile Phones",,$192.77 to $231.33,+$54.88 shipping estimate,from United Kingdom,12+ watchers,https://www.ebay.com/itm/305709610662?_nkw=mobile+phones&itmmeta=01J5FBSZJM90F72T614252V15Y&hash=item472db676a6:g:nAAAAOSwI8Rmt483&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKm34reI9NAnh4WtrTnSNjG3T0Y9sMmvk8%2BCGzKHf0%2FsE3i%2BRsHFdMZstWFPM62f%2FhsSSnBhXhcEn4sQYuv%2F0n8E1f3lboyJa7gaJvmSVoxoFQFSKvDNJT60CiV2EV4vKI0hPqU47T4cpETtbO2ANwRwd9oVvg5YDzuUDUY7ozCsVB8NxswlJq0dH0XDK521MHExwSv%2FJABGa%2FtfbYmradn7qVPrK%2FrMRpR2jAAXEKKHKAzzDmpV9jJprHCrf9dRU4DFNJ2oAit7q%2FguhUKLy7Jk0TANagDkyGk2SiqlGsKMBw%3D%3D%7Ctkp%3ABFBMtPnn66tk
NEW SAMSUNG GALAXY 5G S20 ULTRA SM-G988U 128/256GB FACTORY UNLOCKED SMARTPHONE,,$261.25 to $299.25,+$10.00 shipping,from China,,https://www.ebay.com/itm/135159260250?_nkw=mobile+phones&itmmeta=01J5FBSZJM9T9B7759187MWYXB&hash=item1f781ea45a:g:v4wAAOSwc6Bmn0vv&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmkniF89DL%2FSD1EjMgDKZNLOgC%2FOxuCssAubKK5zNCjBbHrum4KWoAld0PLKzZbPBI3fk0HzjdpWBIrqoHelhL9BDu8BXjtkcmp4OncnYAr55286LiAGTGsPzFZeXbnjDpdSyy30amfcnj6wT2NVcjcM%2Fc%2FLPf9zUVj3WEa6JUfgOazsy3nEHaCzAsr0mT8JMWH9lpJ5WNz8LbGDeRB2%2BPcb2v--R4CTW7ZJtG2pmxdTtedbZmSYL0U9Kjh0WqtYadigZnO7V8r%2BOs%2BvEkUYxNnECwnypqbfudSQnGvjxDusg%3D%3D%7Ctkp%3ABFBMtPnn66tk
SAMSUNG Galaxy Z Flip6 5G SM-F741U 256GB Unlocked Flip Phone Silver - Sealed!,,$789.99,+$49.44 shipping,from United States,187 watchers,https://www.ebay.com/itm/305712838057?_nkw=mobile+phones&itmmeta=01J5FBSZJM1JA2TR1N8G6KDVA4&hash=item472de7b5a9:g:NHoAAOSwH6dmoaFx&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKloMPB5oafOpDbvmLS%2FoS8%2BeHzjA6THoFQprJ1jhsmiLqnlswT9M6DqfTzhVqJMl0X8V6JtCrwfm8j4dQOBgnGsndt8dX8y4d%2FsFojYuVR%2BKn2codoRixSzpGjnMlM6aPV3xhUgXGKlWtbYjP607GiHUkdukToF4iW1pBkw2Homof8r6FlOR0l6ZSiBlLix32UIsN58YwcgW9jYrOaPmI0SiTZANPet7NHXPf7cxnvgr%2BjSOA%2FKfGnQ7OFObL5qmQI%3D%7Ctkp%3ABk9SR7T55-urZA
New ListingSamsung Galaxy S23 Ultra SM-S918B/DS -512GB - Graphite (Unlocked) Good Condition,,$514.09,+$78.34 shipping estimate,from United Kingdom,,https://www.ebay.com/itm/256606129193?_nkw=mobile+phones&epid=27058723010&itmmeta=01J5FBSZJMYH4C2GQ2KYDKZGTB&hash=item3bbeeacc29:g:52YAAOSwUl9mpS2H&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKlsFPccGs%2F2ruKUxToGIxq%2FzrYBEbKEc24Kgw4dQ%2BZ1K4HuufEAhf2NxKgfP5uQEWgne07zQTjr582QxH3bPpHFwj1yvGPhYLuio2KsH42X%2BapOJMuwBeUIE%2F3Zo5kvduXIj32SpNmU5wccf8XIoAFX3M5mwarmeQSfKYc1rQg%2F3l8gVTN%2FgFHH6qfH6ybHVqETQqWIrYUf98tJ5sAuG0uZMMRDLRJ%2FoBJA%2BB5yNqFYrjeIGRUtjDVCiAxhZpdis2Bdu8dE35edNMG14qIUzX1iHD3AA%2F6au1H29sBXhp4C9g%3D%3D%7Ctkp%3ABk9SR7T55-urZA
Apple iPhone 13 - 128GB | 256GB - (Unlocked) AT&T Verizon T-Mobile Cricket Metro,,$339.95 to $359.95,+$28.93 shipping,from United States,12+ watchers,https://www.ebay.com/itm/256582853213?_nkw=mobile+phones&epid=27064997127&itmmeta=01J5FBSZJM4SNMBR71DCYHBFBK&hash=item3bbd87a25d:g:HtoAAOSwXFFmoolD&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKkMB9RfCWLrhsnIjvmdN0gjJno6dqhe3UOFlQFjUnYo3wXs%2FCMFv1gY6AbsZClO%2BKgENAuqGeP2Hov92pWLsfhi0NBnY1oDMuwYRst877z%2BTuZfWGknpYnjeeQUJCl19sfXSd8b5mjhCL1BaJ04aYrNKYghZsZv3C1vFsf7sbTeWAbZK7lARMHko5D4PBfEUKz0NrQaUn8FgcJBzDl4Q%2FFxE8v2c%2BPLcnRsiQHRCE7Ax835AI22l4hklll1m%2FAV5ONPbnGaCg3%2B7rwgoNum1sz%2BD15Gs%2BETa4B4ILsY9sggTw%3D%3D%7Ctkp%3ABk9SR7T55-urZA
"Mi Redmi Note 13 Unlocked 5G Midnight Black 6.67"" 128GB Grade A UK 1 yr Warranty",,$178.65,+$53.07 shipping estimate,from United Kingdom,3 watchers,https://www.ebay.com/itm/166920683157?_nkw=mobile+phones&epid=9067099000&itmmeta=01J5FBSZJM01MEQMPQRSZ8TSTR&hash=item26dd3f7e95:g:6C0AAOSwmPFmvidg&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkq7o3Xs3GWod%2Bl2p6jZ%2BOfaqnRZPQBE2J06xm6QV8Ig0slopbc9ERqfyUH%2FYk56h7WnIwjeMp2HXOpXyHVW--w3CeeomCBkl8R0vu80Dx8N%2B8sxC6iAKesYBjtMgIVwvOPIg7FunWwhjYVoR1PUqgcfkUo%2F3t0yH4X2aAFC%2BmJtaBomluzWF%2FxGg5pOrMf15lbYDh7xwBrz3w%2BFeeyljiShiQNHZg%2B0vTWp%2FFVF8uRICMjH2710sX23ObOq0I5HOg%3D%7Ctkp%3ABk9SR7T55-urZA
Samsung Galaxy A6 SM-A600 - 32GB - Black (Unlocked),,$42.41,+$48.36 shipping estimate,from United Kingdom,25 watchers,https://www.ebay.com/itm/276594986024?_nkw=mobile+phones&epid=13024152700&itmmeta=01J5FBSZJMD10T8ZP3Z0YKVSPX&hash=item4066588c28:g:UPEAAOSwBidl5v03&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnniIYDMxDJPFlncd8M4qfngrm9EKEgEXcuxHU9pNBhUb5qOl8UT%2FJjlr%2BSn5a1vJsodtMiCuJGPMrrtpPCnyprctsRxNVHqKgVw%2FTTDyJQGz0z%2BOi24ZM0g8XWRTfpVKy6JWbbN5vvgz7ytvaKny1sdDEhA6%2BusmGoA3i1Ov20cY%2BeLqnq2Ji1pDyDYkIbUxCvOC9EkjOVFC1SalvYsFmeKWsJEYp4zxpgg4wBIlMnWoLDjKWyS7b%2B5nI0Lvp34Wo%3D%7Ctkp%3ABk9SR7T55-urZA
Google Pixel 6 | 6a | 6 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T,,$139.95 to $229.95,+$32.92 shipping,from United States,33+ watchers,https://www.ebay.com/itm/276523158982?_nkw=mobile+phones&epid=17065005850&itmmeta=01J5FBSZJM20ZWXEV57Q7SQ9CM&hash=item4062108dc6:g:~rUAAOSwkf5mebZY&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKlssF%2FfYHhUbhUVEPAmTfuvJNkUmvHT7avTkHZWhPoFEGWVpH416AK010Q8DeQ3aaUKOm6C%2FwM8%2B6x4NmUamTqgYFDDdopGtHPKVQmpxOre%2F5TAYGk1wuizcRqZNmVtLsCIh29SJmt7fdOOdgCpBlYNJzaxXhIZdPOHZ8ATha78C2IiLKEAH%2FiHhJguZWnCcD%2FAxGKQ6xzSmzi%2Bd1Q1oNl1SwPdL1vCmOog6r%2F61ag57k2sjPHRMZannSpEXCa4vvE%3D%7Ctkp%3ABk9SR7T55-urZA
Samsung Galaxy S21+ 5G G996B - 256GB - Phantom Violet (Dual Sim) (Unlocked),,$152.50,+$24.00 shipping,from Sri Lanka,,https://www.ebay.com/itm/176517837308?_nkw=mobile+phones&epid=25056187854&itmmeta=01J5FBSZJMHN3SX9KMM80PVYQ0&hash=item29194871fc:g:hbQAAOSwCBRmoaWM&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKn4etcUMXnYzfsAAbtmKdtfNSj7YRts2n9Pka4ol8Y9t76lQVoSA%2BephTUQtGNI5f19Zf68nU%2BxEuVUkT8mO3GCrbQ06jGIILc7YKeV62U%2BE3l50Q7bdYyM3rhI5rOK9gCa1qq1rU1ucy0hCzR1zIwcZk1tsuSzc9M8hmAXgV%2BjdN%2FyjO3CYvbWPilhU6%2FB2uEJWOMyzhwPy1mld2HQTtEulZ6LFTm9pPsc1nsiuhzim34Tdf1JYmqhrtPV7yU30ts%3D%7Ctkp%3ABk9SR7b55-urZA
Apple iPhone 13 A2482 T-Mobile Only 128GB Midnight New In Box,,$359.99,+$36.75 shipping,from United States,,https://www.ebay.com/itm/196531079989?_nkw=mobile+phones&epid=14064993588&itmmeta=01J5FBSZJM15KNN3B7KETS6N7K&hash=item2dc22a4b35:g:lLoAAOSwxKJmqF9A&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKkMXOqmH%2BI8ciOmjoKaKZTinjJzhg8G6%2B5MfFypevmlOixvlrLB67%2F9okQnz0wWLcT2PiulPtkeUdvWctET3XjmveQm4mZrXk6XNZo3AACzpvNuKKGXp4tbXs5RIxBVk4JBkUCE7XX%2B8nOAJig8Mf5BwzgtbK9Zy8plA5XvbAMlM%2Fey6vx9p2q%2BVLheJDbyJLel6%2FNmfoHTjkCm6E5HDYF3nh1gGan01Z%2FQ4qpzxE3Tc7IcCkurYhO6w36iL4R8wZ%2B%2FQOX0Nl6k7tkPhyVVMBzDRmG2Jq9EVEifOBFJGEMEVg%3D%3D%7Ctkp%3ABk9SR7b55-urZA
NEW SAMSUNG GALAXY NOTE 10+ PLUS SM-N975U 12/256GB FACTORY UNLOCKED GSM+CDMA,,$232.64,+$10.00 shipping,from China,,https://www.ebay.com/itm/315540919663?_nkw=mobile+phones&epid=7035815134&itmmeta=01J5FBSZJMA88Z4V7HJ8A23SEW&hash=item4977b4556f:g:QsgAAOSwqTZmj0Wh&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKl0NXtq6HgH6T9ed4sGUQPT4WPoQ2bQY8kjAVN%2BcRGOUc8QUnBZTfIh9ltrsQDSld7W4ho95gJKXRqCqxxS6GMkTAFFSjXHacQTFCDkTBcRoSuEhMIaHTFZEckFh01ZHWg%2FOc3LOwZ%2Fh3rAneK1YEIzeeKiG0uerU8CHhEBpWcJ%2BW68zlmEk1FUAH8iehFK51v0sYXduf%2Bc05Mzgs4%2FBunRGMeR%2FhvvaSEe%2FrG4ub98spimfNPCgc5MDcRsbbisQk4V3uiXcyMoAjmYjGWWDkMHn7m2x2wfbnY3CyTFFa0RYQ%3D%3D%7Ctkp%3ABk9SR7b55-urZA
Samsung Galaxy Note 20 | Note 20 Ultra 5G 128GB (Unlocked) - New in Box,,$269.99 to $379.99,+$34.54 shipping,from United States,,https://www.ebay.com/itm/176488271227?_nkw=mobile+phones&epid=9040080100&itmmeta=01J5FBSZJMM9VE946ERNKRDQ9E&hash=item2917854d7b:g:W0YAAOSwntZmoW8P&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmUY7uEGP5q8xBJQRXxjdxR9Gzr1MRXNqQwFflHf%2BwsDqVjcd6lz7FhAWtEvNbv5954roGfghRmYqgPEtPSk%2Fwm1iL%2B%2B5Xx6oVKgzeTQuvhr5JhvP5OrCjCt0YF64J5vlBvYTQOYYkFgFtogzFpUBzoKjassuQ91JW0sQ2A%2FkJMLQp7nj3EPp1JuzZeD6D3eEIfl9qhGocJDgjiuZByeN67blj%2F0i7v4oWpTClm7Rxcw%2BFXfIznoYm7rJRTM4kCxRF218w2pcmAUF6PlVYmmGsi2DcqiHccdWGxsXhhBFBLUQ%3D%3D%7Ctkp%3ABk9SR7b55-urZA
